filename,width,height,xmin,ymin,xmax,ymax
0.png,1024,1448,369,85,533,125
0.png,1024,1448,200,134,732,160
0.png,1024,1448,639,239,771,259
0.png,1024,1448,639,257,891,277
0.png,1024,1448,637,277,803,297
0.png,1024,1448,641,297,749,315
0.png,1024,1448,379,391,535,435
0.png,1024,1448,33,465,75,485
0.png,1024,1448,64,516,173,537
0.png,1024,1448,180,516,254,540
0.png,1024,1448,313,517,363,537
0.png,1024,1448,389,517,459,537
0.png,1024,1448,529,515,579,535
0.png,1024,1448,721,515,841,535
0.png,1024,1448,863,513,933,533
0.png,1024,1448,53,575,131,595
0.png,1024,1448,297,575,389,595
0.png,1024,1448,577,573,609,591
0.png,1024,1448,647,577,729,593
0.png,1024,1448,749,577,805,593
0.png,1024,1448,839,575,925,593
0.png,1024,1448,34,610,139,626
0.png,1024,1448,159,610,361,626
0.png,1024,1448,666,609,739,627
0.png,1024,1448,869,609,933,627
0.png,1024,1448,35,626,137,643
0.png,1024,1448,159,626,351,643
0.png,1024,1448,681,627,739,642
0.png,1024,1448,883,627,935,645
0.png,1024,1448,129,1069,287,1089
0.png,1024,1448,737,1081,811,1101
0.png,1024,1448,870,1080,940,1104
0.png,1024,1448,181,1099,219,1117
0.png,1024,1448,157,1121,245,1141
0.png,1024,1448,737,1113,831,1133
0.png,1024,1448,882,1112,940,1136
0.png,1024,1448,177,1155,213,1173
0.png,1024,1448,263,1153,297,1171
0.png,1024,1448,736,1142,820,1166
0.png,1024,1448,867,1142,940,1166
0.png,1024,1448,23,1185,412,1211
0.png,1024,1448,25,1209,185,1229
0.png,1024,1448,347,1243,627,1263
0.png,1024,1448,127,1261,269,1281
0.png,1024,1448,278,1261,367,1281
0.png,1024,1448,381,1263,409,1279
0.png,1024,1448,415,1261,699,1281
0.png,1024,1448,707,1260,836,1281
0.png,1024,1448,161,1279,275,1297
0.png,1024,1448,301,1279,385,1299
0.png,1024,1448,407,1279,533,1299
0.png,1024,1448,713,1280,875,1299
0.png,1024,1448,593,609,607,626
0.png,1024,1448,593,627,608,643
0.png,1024,1448,78,638,78,639
0.png,1024,1448,555,1281,704,1298
0_contrasted.png,1024,1448,369,85,533,125
0_contrasted.png,1024,1448,200,134,732,160
0_contrasted.png,1024,1448,639,239,771,259
0_contrasted.png,1024,1448,639,257,891,277
0_contrasted.png,1024,1448,637,277,803,297
0_contrasted.png,1024,1448,641,297,749,315
0_contrasted.png,1024,1448,379,391,535,435
0_contrasted.png,1024,1448,33,465,75,485
0_contrasted.png,1024,1448,64,516,173,537
0_contrasted.png,1024,1448,180,516,254,540
0_contrasted.png,1024,1448,313,517,363,537
0_contrasted.png,1024,1448,389,517,459,537
0_contrasted.png,1024,1448,529,515,579,535
0_contrasted.png,1024,1448,721,515,841,535
0_contrasted.png,1024,1448,863,513,933,533
0_contrasted.png,1024,1448,53,575,131,595
0_contrasted.png,1024,1448,297,575,389,595
0_contrasted.png,1024,1448,577,573,609,591
0_contrasted.png,1024,1448,647,577,729,593
0_contrasted.png,1024,1448,749,577,805,593
0_contrasted.png,1024,1448,839,575,925,593
0_contrasted.png,1024,1448,34,610,139,626
0_contrasted.png,1024,1448,159,610,361,626
0_contrasted.png,1024,1448,666,609,739,627
0_contrasted.png,1024,1448,869,609,933,627
0_contrasted.png,1024,1448,35,626,137,643
0_contrasted.png,1024,1448,159,626,351,643
0_contrasted.png,1024,1448,681,627,739,642
0_contrasted.png,1024,1448,883,627,935,645
0_contrasted.png,1024,1448,129,1069,287,1089
0_contrasted.png,1024,1448,737,1081,811,1101
0_contrasted.png,1024,1448,870,1080,940,1104
0_contrasted.png,1024,1448,181,1099,219,1117
0_contrasted.png,1024,1448,157,1121,245,1141
0_contrasted.png,1024,1448,737,1113,831,1133
0_contrasted.png,1024,1448,882,1112,940,1136
0_contrasted.png,1024,1448,177,1155,213,1173
0_contrasted.png,1024,1448,263,1153,297,1171
0_contrasted.png,1024,1448,736,1142,820,1166
0_contrasted.png,1024,1448,867,1142,940,1166
0_contrasted.png,1024,1448,23,1185,412,1211
0_contrasted.png,1024,1448,25,1209,185,1229
0_contrasted.png,1024,1448,347,1243,627,1263
0_contrasted.png,1024,1448,127,1261,269,1281
0_contrasted.png,1024,1448,278,1261,367,1281
0_contrasted.png,1024,1448,381,1263,409,1279
0_contrasted.png,1024,1448,415,1261,699,1281
0_contrasted.png,1024,1448,707,1260,836,1281
0_contrasted.png,1024,1448,161,1279,275,1297
0_contrasted.png,1024,1448,301,1279,385,1299
0_contrasted.png,1024,1448,407,1279,533,1299
0_contrasted.png,1024,1448,713,1280,875,1299
0_contrasted.png,1024,1448,593,609,607,626
0_contrasted.png,1024,1448,593,627,608,643
0_contrasted.png,1024,1448,78,638,78,639
